wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((91000 443600, 91100.0000000037252903 443600, 91100.0000000037252903 443500, 91000 443500, 91000 443600))",353675,353675,E0910N4435,40,5,5,5,15,5,60% tot 75%,15% tot 25%,10% tot 25%,15,311,25,18
"Polygon ((91100.0000000037252903 443600, 91200.0000000037252903 443600, 91200.0000000037252903 443500, 91100.0000000037252903 443500, 91100.0000000037252903 443600))",353676,353676,E0911N4435,40,5,5,5,10,15,75% tot 90%,minder dan 8%,10% tot 25%,20,273,20,2
"Polygon ((91200.0000000037252903 443600, 91300 443600, 91300 443500, 91200.0000000037252903 443500, 91200.0000000037252903 443600))",353677,353677,E0912N4435,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99997,0,-99998
"Polygon ((91300 443600, 91400 443600, 91400 443500, 91300 443500, 91300 443600))",353678,353678,E0913N4435,20,5,0,5,10,0,geheim,geheim,geheim,10,-99997,15,13
"Polygon ((91500.0000000037252903 443600, 91600 443600, 91600 443500, 91500.0000000037252903 443500, 91500.0000000037252903 443600))",353679,353679,E0915N4435,5,0,0,0,0,5,geheim,geheim,geheim,5,-99997,0,1
"Polygon ((92300.0000000037252903 443600, 92400 443600, 92400 443500, 92300.0000000037252903 443500, 92300.0000000037252903 443600))",353680,353680,E0923N4435,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,3
"Polygon ((92400 443600, 92500 443600, 92500 443500, 92400 443500, 92400 443600))",353681,353681,E0924N4435,15,0,0,0,0,5,75% tot 90%,15% tot 25%,geen nw. allochtoon,5,-99997,0,12
"Polygon ((92500 443600, 92600.0000000037252903 443600, 92600.0000000037252903 443500, 92500 443500, 92500 443600))",353682,353682,E0925N4435,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((93700.0000000037252903 443600, 93800 443600, 93800 443500, 93700.0000000037252903 443500, 93700.0000000037252903 443600))",353683,353683,E0937N4435,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((93800 443600, 93900 443600, 93900 443500, 93800 443500, 93800 443600))",353684,353684,E0938N4435,10,0,0,0,5,0,geheim,geheim,geheim,5,225,5,3
"Polygon ((93900 443600, 94000.0000000037252903 443600, 94000.0000000037252903 443500, 93900 443500, 93900 443600))",353685,353685,E0939N4435,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((94100.0000000037252903 443600, 94200 443600, 94200 443500, 94100.0000000037252903 443500, 94100.0000000037252903 443600))",353686,353686,E0941N4435,0,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((94200 443600, 94300 443600, 94300 443500, 94200 443500, 94200 443600))",353687,353687,E0942N4435,0,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((95700 443600, 95800.0000000037252903 443600, 95800.0000000037252903 443500, 95700 443500, 95700 443600))",353688,353688,E0957N4435,5,5,0,0,0,0,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((95800.0000000037252903 443600, 95900.0000000037252903 443600, 95900.0000000037252903 443500, 95800.0000000037252903 443500, 95800.0000000037252903 443600))",353689,353689,E0958N4435,5,0,0,0,0,5,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((96000 443600, 96100 443600, 96100 443500, 96000 443500, 96000 443600))",353690,353690,E0960N4435,5,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,5
"Polygon ((96400 443600, 96500 443600, 96500 443500, 96400 443500, 96400 443600))",353691,353691,E0964N4435,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,2
"Polygon ((97600 443600, 97700.0000000037252903 443600, 97700.0000000037252903 443500, 97600 443500, 97600 443600))",353692,353692,E0976N4435,10,0,0,5,5,0,90% of meer,geen w. allochtoon,geen nw. allochtoon,5,361,10,2
"Polygon ((97700.0000000037252903 443600, 97800 443600, 97800 443500, 97700.0000000037252903 443500, 97700.0000000037252903 443600))",353693,353693,E0977N4435,5,0,0,0,0,5,geheim,geheim,geheim,5,482,0,4
"Polygon ((97800 443600, 97900 443600, 97900 443500, 97800 443500, 97800 443600))",353694,353694,E0978N4435,5,0,0,0,0,5,geheim,geheim,geheim,5,-99997,0,2
"Polygon ((99600 443600, 99700 443600, 99700 443500, 99600 443500, 99600 443600))",353695,353695,E0996N4435,10,0,0,0,5,0,geheim,geheim,geheim,5,-99997,5,4
"Polygon ((99700 443600, 99800.0000000037252903 443600, 99800.0000000037252903 443500, 99700 443500, 99700 443600))",353696,353696,E0997N4435,15,0,5,5,10,0,60% tot 75%,25% tot 45%,geen nw. allochtoon,10,-99997,20,9
"Polygon ((100000 443600, 100100 443600, 100100 443500, 100000 443500, 100000 443600))",353697,353697,E1000N4435,125,5,0,10,60,50,60% tot 75%,8% tot 15%,10% tot 25%,-99998,-99998,70,0
"Polygon ((100200.0000000037252903 443600, 100300.0000000037252903 443600, 100300.0000000037252903 443500, 100200.0000000037252903 443500, 100200.0000000037252903 443600))",353698,353698,E1002N4435,80,30,10,30,10,0,60% tot 75%,minder dan 8%,10% tot 25%,20,269,50,1
"Polygon ((86000.0000000037252903 443500, 86100.0000000037252903 443500, 86100.0000000037252903 443400.0000000037252903, 86000.0000000037252903 443400.0000000037252903, 86000.0000000037252903 443500))",354093,354093,E0860N4434,5,0,0,0,5,0,geheim,geheim,geheim,5,-99997,5,5
"Polygon ((89100 443500, 89200 443500, 89200 443400.0000000037252903, 89100 443400.0000000037252903, 89100 443500))",354094,354094,E0891N4434,10,0,0,0,5,0,geheim,geheim,geheim,5,-99997,5,6
"Polygon ((89200 443500, 89300.0000000037252903 443500, 89300.0000000037252903 443400.0000000037252903, 89200 443400.0000000037252903, 89200 443500))",354095,354095,E0892N4434,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((89500 443500, 89600 443500, 89600 443400.0000000037252903, 89500 443400.0000000037252903, 89500 443500))",354096,354096,E0895N4434,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,1
"Polygon ((90800.0000000037252903 443500, 90900 443500, 90900 443400.0000000037252903, 90800.0000000037252903 443400.0000000037252903, 90800.0000000037252903 443500))",354097,354097,E0908N4434,5,0,0,0,5,0,geheim,geheim,geheim,0,-99997,5,5
"Polygon ((90900 443500, 91000 443500, 91000 443400.0000000037252903, 90900 443400.0000000037252903, 90900 443500))",354098,354098,E0909N4434,20,0,0,5,10,10,90% of meer,minder dan 8%,minder dan 10%,10,349,15,19
"Polygon ((91000 443500, 91100.0000000037252903 443500, 91100.0000000037252903 443400.0000000037252903, 91000 443400.0000000037252903, 91000 443500))",354099,354099,E0910N4434,65,15,10,15,20,10,90% of meer,minder dan 8%,geen nw. allochtoon,25,294,45,0
